2026-03-15 10:03:27 | INFO | ============================================================
2026-03-15 10:03:27 | INFO | Validator started: validate_bug_routing
2026-03-15 10:03:27 | INFO | Stdin input received: 491 bytes
2026-03-15 10:03:27 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:03:27 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:03:28 | INFO | ============================================================
2026-03-15 10:03:28 | INFO | Validator started: validate_bug_routing
2026-03-15 10:03:28 | INFO | Stdin input received: 481 bytes
2026-03-15 10:03:28 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:03:28 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:03:31 | INFO | ============================================================
2026-03-15 10:03:31 | INFO | Validator started: validate_bug_routing
2026-03-15 10:03:31 | INFO | Stdin input received: 506 bytes
2026-03-15 10:03:31 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:03:31 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:03:39 | INFO | ============================================================
2026-03-15 10:03:39 | INFO | Validator started: validate_bug_routing
2026-03-15 10:03:39 | INFO | Stdin input received: 515 bytes
2026-03-15 10:03:39 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:03:39 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:03:39 | INFO | ============================================================
2026-03-15 10:03:39 | INFO | Validator started: validate_bug_routing
2026-03-15 10:03:39 | INFO | Stdin input received: 507 bytes
2026-03-15 10:03:39 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:03:39 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:09:44 | INFO | ============================================================
2026-03-15 10:09:44 | INFO | Validator started: validate_bug_routing
2026-03-15 10:09:44 | INFO | Stdin input received: 476 bytes
2026-03-15 10:09:44 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:09:44 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:15:24 | INFO | ============================================================
2026-03-15 10:15:24 | INFO | Validator started: validate_bug_routing
2026-03-15 10:15:24 | INFO | Stdin input received: 477 bytes
2026-03-15 10:15:24 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:15:24 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:15:28 | INFO | ============================================================
2026-03-15 10:15:28 | INFO | Validator started: validate_bug_routing
2026-03-15 10:15:28 | INFO | Stdin input received: 567 bytes
2026-03-15 10:15:28 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:15:28 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:18:15 | INFO | ============================================================
2026-03-15 10:18:15 | INFO | Validator started: validate_bug_routing
2026-03-15 10:18:15 | INFO | Stdin input received: 504 bytes
2026-03-15 10:18:15 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:18:15 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:18:25 | INFO | ============================================================
2026-03-15 10:18:25 | INFO | Validator started: validate_bug_routing
2026-03-15 10:18:25 | INFO | Stdin input received: 513 bytes
2026-03-15 10:18:25 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:18:25 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:18:25 | INFO | ============================================================
2026-03-15 10:18:25 | INFO | Validator started: validate_bug_routing
2026-03-15 10:18:25 | INFO | Stdin input received: 526 bytes
2026-03-15 10:18:25 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:18:25 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:18:26 | INFO | ============================================================
2026-03-15 10:18:26 | INFO | Validator started: validate_bug_routing
2026-03-15 10:18:26 | INFO | Stdin input received: 535 bytes
2026-03-15 10:18:26 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:18:26 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:21:49 | INFO | ============================================================
2026-03-15 10:21:49 | INFO | Validator started: validate_bug_routing
2026-03-15 10:21:49 | INFO | Stdin input received: 507 bytes
2026-03-15 10:21:49 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:21:49 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:21:49 | INFO | ============================================================
2026-03-15 10:21:49 | INFO | Validator started: validate_bug_routing
2026-03-15 10:21:49 | INFO | Stdin input received: 515 bytes
2026-03-15 10:21:49 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:21:49 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:23:39 | INFO | ============================================================
2026-03-15 10:23:39 | INFO | Validator started: validate_bug_routing
2026-03-15 10:23:39 | INFO | Stdin input received: 13873 bytes
2026-03-15 10:23:39 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:23:39 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:24:55 | INFO | ============================================================
2026-03-15 10:24:55 | INFO | Validator started: validate_bug_routing
2026-03-15 10:24:55 | INFO | Stdin input received: 13255 bytes
2026-03-15 10:24:55 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:24:55 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:36:58 | INFO | ============================================================
2026-03-15 10:36:58 | INFO | Validator started: validate_bug_routing
2026-03-15 10:36:58 | INFO | Stdin input received: 575 bytes
2026-03-15 10:36:58 | INFO | Found routing file (fallback): bugs/BUG-002/routing.json
2026-03-15 10:36:58 | WARNING | FAIL: Missing fields: ['rationale']
2026-03-15 10:37:02 | INFO | ============================================================
2026-03-15 10:37:02 | INFO | Validator started: validate_bug_routing
2026-03-15 10:37:02 | INFO | Stdin input received: 652 bytes
